,indice_Inflazione_GT_PCA_SA,indice_Tematico_GT_SA,indice_Termini_Diretti_Purificato,indice_Alimentari_Purificato,indice_Energia_Purificato,indice_Abitazione_Purificato,indice_Trasporti_Purificato,indice_Politiche_Economiche_Purificato,indice_Aspettative_Consumatori_Purificato,indice_Sanita_Purificato,indice_Ricreazione_Purificato
2016-09-01,-2.69959418175136,1.83606476197358,0.66072,1.17805,0.0705,1.28238,2.53312,-0.28875,-0.14271,0.49848,1.46529
2016-10-01,-2.61234761138297,1.89344227018777,1.13583,2.06613,0.0705,1.05867,0.61458,-0.30731,-0.08911,0.49848,1.12536
2016-11-01,-2.55074877580406,1.90492477609635,0.35381,2.45508,-0.23904,1.03071,0.52002,0.24424,-0.04303,0.65285,1.14843
2016-12-01,-2.35615394127233,2.63124783247403,0.29711,2.45274,-0.1813,0.75109,0.24368,0.2996,0.41753,0.18972,2.59547
2017-01-01,-1.98241157579049,1.96560322433578,0.45448,1.8539,0.62007,1.28238,0.79908,-0.25427,-0.09663,0.97048,1.91305
2017-02-01,-2.29897514618095,1.88617784343954,0.30102,1.599,0.62007,1.39423,-0.0295,0.26279,-0.15023,1.20473,1.51786
2017-03-01,-1.94827617818943,2.01312435562751,0.58819,1.39028,0.62007,1.25441,-0.14479,-0.54251,-0.20383,1.30976,1.26472
2017-04-01,-1.82026376844422,2.42667649099337,0.85257,1.22073,0.44415,1.31034,0.45021,-0.50585,-0.20383,0.94279,1.23773
2017-05-01,-2.13108187035628,1.92232951276916,0.48838,1.05294,-0.10542,1.36626,0.4662,-0.03762,-0.3035,1.05036,0.73215
2017-06-01,-2.52255195062985,2.22397271104198,0.48838,0.62248,0.0705,1.64589,0.3322,-0.05617,-0.663,0.89344,0.39222
2017-07-01,-2.4082301984967,1.69454004525423,-0.0048,0.74934,-0.1813,1.1159,0.37522,-0.32586,-0.20383,0.79474,0.16735
2017-08-01,-2.37633628819209,1.83952285617801,-0.13852,0.66515,-0.1813,0.83627,0.81549,-0.5057,-0.3035,0.18972,0.64664
2017-09-01,-2.19611528188177,1.76392282759676,0.54732,1.17981,-0.00538,1.39423,2.86311,-0.14587,-0.3035,0.60351,1.2667
2017-10-01,-2.49520426614267,2.47624047269445,1.59263,1.60659,0.30415,1.25441,1.60912,-0.21746,0.19486,0.89598,1.06163
2017-11-01,-2.2267684878482,2.13453973680624,0.4592,2.23976,0.12823,1.08664,-0.08605,-0.20123,0.35566,1.05036,1.46459
2017-12-01,-2.34393412145457,2.19952718940232,0.82339,1.68962,0.56234,0.17163,-0.55513,-0.18268,0.91589,-0.06969,2.48169
2018-01-01,-2.26462410585687,2.47857483002047,1.47002,1.47564,0.62007,1.47811,0.85606,0.44307,0.89257,1.36798,1.20818
2018-02-01,-2.28024393425215,3.01542862998299,0.16034,1.90435,2.17414,1.25441,0.25721,0.89304,0.89257,1.26041,1.32126
