,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale,indice_Inflazione_Aggregato
2015-09-01,-0.7650096596148966,1.0956178862901589,0.05235082764670436,0.9468243938747545,3.5763983117188722,-0.4136778461188584,-0.4567731934690762,0.6340349465693236,0.9840132140287592,2.177265917987084,-0.9454062976456368
2015-10-01,-0.11572243785742675,1.8158977199036415,0.30415398722646464,0.8349739197134217,1.9044294272610738,-0.4136778461188584,-0.4299737989847843,0.23906759607501404,0.8072134000089186,1.92916220605402,-0.8079483862328026
2015-11-01,-0.4799097125312367,2.9216210606943633,0.30415398722646464,0.7790486826327553,0.0024668323913005098,-0.4136778461188584,-0.4299737989847843,0.7884138772119189,1.1838805944411617,1.992049603738359,-0.792021654637239
2015-12-01,-0.2266431885374104,2.246361388266032,0.6778066731212183,0.6671982084714225,-0.6596271449498322,-0.34208851990367983,0.011317457538340332,0.03280521692899273,2.3127829896756307,1.8739240116569353,-0.6869264644057732
2016-01-01,0.3318694280603927,2.329964152560036,1.2787285283061698,1.1425627236570868,-0.04029765103966711,-0.14369365530445447,0.06491624650692411,0.893443119667243,2.334522374597104,3.043876016650078,-0.5217310037874364
2016-02-01,-0.00480168717744309,2.328797083719949,0.9359941166239522,1.2264505792780864,0.5792935796831953,0.35713509527954873,0.011317457538340332,1.1553850530813172,0.9287552724998653,2.7531472583081222,-0.4465922275419127
2016-03-01,-0.00480168717744309,1.811221972760966,0.3864205987120369,1.2544131978184194,0.7243547088107977,0.01774064963355183,-0.40317440450049236,0.893443119667243,1.098368870329951,2.1506158160288686,-0.7637115553916237
2016-04-01,1.0288189547741537,1.766789081887022,0.44415321990804685,1.17052534219742,-0.3781055776719978,-0.4319334986265076,-0.40317440450049236,0.6060387719444124,0.5908080012541622,1.6677890370897446,-0.7485283987872232
2016-05-01,0.4655859301442868,1.7258648693156673,0.44415321990804685,1.2823758163587526,-0.5711141119894233,-0.019067188303993277,-0.2959768265633248,1.0478220503098383,0.5625390682824813,1.7352249583844348,-0.7940796116300513
2016-06-01,-0.39178471325516334,1.2616563460380805,-0.4149560787796386,1.3942262905200855,0.157893805036614,0.3222097958033423,-0.40317440450049236,0.2947471503430669,-0.0022645919328371203,0.8082949051190147,-0.8706299549341404
2016-07-01,-0.502705463935147,0.622475666205119,-0.04768767680785849,0.7308835371230398,1.1042316789413575,-0.7736508268546628,-0.40317440450049236,0.39977639279839106,-0.1988671983201356,0.5760529850877923,-1.195464162920959
2016-08-01,-0.6364219660190411,0.6195542582137377,-0.04768767680785849,0.668497721611288,1.0785695231099546,-0.9001598323164628,0.06491624650692411,0.1871841475715881,0.3922205452562279,0.7518805499282742,-1.3025540180953654
2016-09-01,0.6607228169024589,1.178053581744076,0.07050053401329313,1.2823758163587526,2.5331186801836933,-0.28875484619615044,-0.14270563402037412,0.4984757691729335,1.465289999743503,2.5342728462389656,-1.091236968304554
2016-10-01,1.1358308422562526,2.0661262142567742,0.07050053401329313,1.0586748680360871,0.6145772313397496,-0.30730703162604633,-0.08910684505179033,0.4984757691729335,1.1253578788871639,2.205590353370809,-0.9540539876464185
2016-11-01,0.3538143226059861,2.4550783997366024,-0.23903524676247703,1.030712249495754,0.5200231542302254,0.24423597716108095,-0.04303323044600714,0.652854699815529,1.1484254452797256,2.1741129433461523,-0.8395939066283108
2016-12-01,0.2971143459637717,2.452744262056429,-0.18130262556646712,0.7510860640924222,0.24368450871124647,0.29959600052852203,0.41753224619860885,0.18971790788774276,2.5954723193924396,2.4332197254503827,-0.8651831482959302
2017-01-01,0.4544774563098929,1.8539005244836153,0.6200740519252085,1.2823758163587526,0.7990841290349807,-0.25426989084076373,-0.09663201941459092,0.9704761874976561,1.913048228850826,2.7928704693948263,-0.27167313851211405
